name,value,year,lastValue,rank
Microsoft,67119.2,2000.6,67632,
Coca-Cola,67105,2005.8,67157.5,
Coca-Cola,67080.4,2008.2,66873.7,
Coca-Cola,67052.5,2005.9,67105,
Coca-Cola,67019.4,2017.8,67358.6,
Microsoft,67018.4,2014.9,66366.8,
Coca-Cola,67000,2006,67052.5,
Coca-Cola,66873.7,2008.1,66667,
Google,66844.2,2011.8,65403.3,
Coca-Cola,66832.4,2006.1,67000,
IBM,66798.2,2010.4,66280.4,
Coca-Cola,66680.2,2017.9,67019.4,
Coca-Cola,66667,2008,66532.7,
Coca-Cola,66664.8,2006.2,66832.4,
Microsoft,66606.4,2000.7,67119.2,
Coca-Cola,66532.7,2007.9,66398.4,
IBM,66524.8,2014.8,67239.7,
Coca-Cola,66497.2,2006.3,66664.8,
Coca-Cola,66398.4,2007.8,66264.1,
Microsoft,66366.8,2014.8,65715.2,
Coca-Cola,66341,2018,66680.2,
Coca-Cola,66329.6,2006.4,66497.2,
IBM,66280.4,2010.3,65762.6,
Coca-Cola,66264.1,2007.7,66129.8,
Coca-Cola,66162,2006.5,66329.6,
Coca-Cola,66129.8,2007.6,65995.5,
Microsoft,66093.6,2000.8,66606.4,
Coca-Cola,65995.5,2007.5,65861.2,
Coca-Cola,65994.4,2006.6,66162,
Coca-Cola,65861.2,2007.4,65726.9,
Coca-Cola,65826.8,2006.7,65994.4,
IBM,65809.9,2014.9,66524.8,
IBM,65762.6,2010.2,65244.8,
Coca-Cola,65726.9,2007.3,65592.6,
Microsoft,65715.2,2014.7,65063.6,
Coca-Cola,65659.2,2006.8,65826.8,
Coca-Cola,65592.6,2007.2,65458.3,
Microsoft,65580.8,2000.9,66093.6,
Coca-Cola,65491.6,2006.9,65659.2,
Coca-Cola,65458.3,2007.1,65324,
Google,65403.3,2011.7,63962.4,
Coca-Cola,65324,2007,65491.6,
IBM,65244.8,2010.1,64727,
Microsoft,65174,2003,65065.7,
IBM,65095,2015,65809.9,
Microsoft,65068,2001,65580.8,
Microsoft,65065.7,2002.9,64957.4,
Microsoft,65063.6,2014.6,64412,
